AWB,ConsigneePostal,KiloWgt,PieceQty,CommitDate,DestLocCd,CourierRoute
7.90E+11,59200,1,1,19/9/2013,KUL,851
7.76E+11,64000,0.9,1,19/9/2013,MKZ,
4.34E+11,47400,1.3,1,19/9/2017,XKL,973972
4.79E+11,40300,11.6,4,19/9/2013,XKL,925926
7.76E+11,46200,0.5,1,19/9/2013,KUL,860
7.90E+11,47810,0.9,1,19/9/2013,XKL,979976
7.90E+11,52100,0.4,1,19/9/2013,KUL,840
7.90E+11,47000,0.4,1,19/9/2013,XKL,KULAAA
7.90E+11,50480,0.2,1,19/9/2013,KUL,859
4.67E+11,50450,1.8,1,19/9/2013,KUL,827
8.13E+11,,0.1,1,19/9/2017,LBU,
5.50E+11,47300,4.1,1,19/9/2013,XKL,970972
7.76E+11,48000,0.5,1,19/9/2013,XKL,RAWANG
7.90E+11,56000,1.4,1,19/9/2013,KUL,890
7.90E+11,40150,0.5,1,19/9/2017,XKL,920922
7.90E+11,50480,0.2,1,19/9/2013,KUL,859
7.90E+11,40200,0.1,1,19/9/2013,XKL,911912
4.90E+11,47301,0.5,1,19/9/2013,XKL,970972
7.90E+11,40150,0.5,1,19/9/2012,XKL,RAWANG
7.90E+11,50450,0.9,1,19/9/2013,KUL,827
7.90E+11,43000,1.8,1,19/9/2017,RDN,
4.86E+11,47000,10,1,19/9/2013,XKL,985982
7.76E+11,46050,0.5,1,19/9/2013,KUL,860
7.90E+11,43650,0.1,1,19/9/2013,RDN,
1.21E+11,81100,0.2,1,19/9/2013,JHB,
1.19E+11,81100,0.1,1,19/9/2013,JHB,
4.71E+11,40460,24,2,19/9/2017,XKL,919916
1.09E+11,60000,4.2,1,19/9/2013,XKL,979974
7.90E+11,47200,0.9,1,19/9/2013,XKL,KULBK+
7.90E+11,96000,0.6,1,19/9/2017,ODN,
1.15E+11,81560,0.5,1,19/9/2017,JHB,
7.90E+11,47301,0.3,1,19/9/2012,XKL,955956
1.08E+11,75350,15.6,1,19/9/2013,MKZ,
7.76E+11,63000,2.5,1,19/9/2013,XKL,969938
8.11E+11,93200,8,1,19/9/2013,KCH,
7.90E+11,40460,1.1,1,19/9/2013,XKL,929928
7.90E+11,81750,0.8,1,19/9/2013,JHB,
7.76E+11,81300,0.5,1,19/9/2013,JHB,
7.76E+11,68000,0.5,1,19/9/2017,KUL,815
7.90E+11,42500,0.5,1,19/9/2013,XKL,999916
4.96E+11,81000,0.2,1,19/9/2013,JHB,
1.14E+11,47200,10.8,1,19/9/2013,XKL,RAWANG
7.76E+11,56000,0.5,1,19/9/2013,KUL,890
7.76E+11,47100,13.6,1,19/9/2017,XKL,967938
7.90E+11,81250,0.5,1,19/9/2013,JHB,
7.90E+11,47000,0.8,1,19/9/2017,XKL,985982
7.76E+11,93150,1.4,1,19/9/2018,KCH,
7.90E+11,70400,0.5,1,19/9/2013,RDN,
1.15E+11,40150,5,1,19/9/2013,XKL,RAWANG
1.21E+11,47200,0.5,1,19/9/2013,XKL,KULBK+
7.76E+11,98008,4.1,1,19/9/2017,ODN,
7.90E+11,43200,2.1,1,19/9/2023,KUL,887
1.19E+11,25200,0.4,1,19/9/2013,KUA,
1.19E+11,88996,0.4,1,19/9/2017,BKI,
1.19E+11,50586,0.4,1,19/9/2013,KUL,831
1.19E+11,46100,0.4,1,19/9/2013,KUL,865
7.40E+11,40150,2.3,1,19/9/2017,XKL,RAWANG
7.76E+11,47100,43.5,1,19/9/2013,XKL,963936
4.96E+11,47300,0.5,1,19/9/2013,XKL,MKZAC8
7.76E+11,47800,0.2,1,19/9/2013,XKL,975976
7.76E+11,42000,1.4,1,19/9/2013,XKL,995918
7.90E+11,50480,0.3,1,19/9/2013,KUL,859
1.21E+11,79200,1593.9,9,19/9/2013,KUL,JHBA
4.62E+11,70300,1.8,1,19/9/2013,RDN,
7.90E+11,60000,1.1,1,19/9/2013,XKL,979974
6.44E+11,47820,4.1,1,19/9/2013,XKL,979976
6.35E+11,41050,2.3,1,19/9/2013,XKL,KULBK+
6.35E+11,41050,2,1,19/9/2013,XKL,KULBK+
6.69E+11,40350,250.4,1,19/9/2013,KUL,XKLA
7.90E+11,54200,0.9,1,19/9/2017,KUL,813
7.90E+11,47200,99.3,1,19/9/2013,KUL,XKLA
7.90E+11,47200,63.5,1,19/9/2013,KUL,XKLA
6.37E+11,40150,0.4,1,19/9/2013,XKL,RAWANG
1.15E+11,81800,0.5,1,19/9/2013,JHB,
1.11E+11,81100,1.4,1,19/9/2013,JHB,
7.90E+11,47810,1.8,1,19/9/2013,XKL,980982
7.90E+11,50480,0.2,1,19/9/2013,KUL,859
1.04E+11,81400,0.1,1,19/9/2013,JHB,
7.76E+11,43300,0.5,1,19/9/2013,KUL,887
1.03E+11,47100,4.1,1,19/9/2017,XKL,960936
7.76E+11,64000,3.6,1,19/9/2013,MKZ,
4.89E+11,75350,3.2,1,19/9/2013,MKZ,
7.90E+11,40150,0.5,1,19/9/2013,XKL,920922
4.83E+11,47400,0.1,1,19/9/2013,XKL,975974
7.90E+11,47301,9.5,1,19/9/2017,XKL,955956
1.23E+11,50200,0,1,19/9/2013,KUL,823
7.76E+11,55100,0.5,1,19/9/2013,KUL,811
7.76E+11,64000,1.4,1,19/9/2013,MKZ,
7.76E+11,64000,2.3,1,19/9/2013,MKZ,
7.90E+11,80200,0.9,1,19/9/2013,JHB,
4.80E+11,55100,7.4,1,19/9/2013,KUL,825
1.14E+11,43300,0.5,1,19/9/2013,KUL,879
7.76E+11,50470,2.3,1,19/9/2013,KUL,850+
7.76E+11,47400,0.5,1,19/9/2013,XKL,975974
7.90E+11,7000,1.8,1,19/9/2017,LGK,
